step,tconv,GP2_s1_eddy_rms_pct,GP2_s2_eddy_rms_pct,NN2_s1_eddy_rms_pct,NN2_s2_eddy_rms_pct
275,2.750000000000e-02,3.718000000000e-01,3.562000000000e-01,3.694000000000e-01,3.614000000000e-01
280,2.800000000000e-02,2.619000000000e-01,3.525000000000e-01,2.602000000000e-01,3.407000000000e-01
285,2.850000000000e-02,3.015000000000e-01,3.987000000000e-01,2.986000000000e-01,4.008000000000e-01
290,2.900000000000e-02,2.632000000000e-01,3.633000000000e-01,2.579000000000e-01,3.662000000000e-01
295,2.950000000000e-02,2.415000000000e-01,4.068000000000e-01,2.455000000000e-01,4.020000000000e-01
300,3.000000000000e-02,2.261000000000e-01,3.677000000000e-01,2.215000000000e-01,3.501000000000e-01
305,3.050000000000e-02,2.989000000000e-01,3.190000000000e-01,2.992000000000e-01,3.163000000000e-01
310,3.100000000000e-02,2.522000000000e-01,2.566000000000e-01,2.462000000000e-01,2.515000000000e-01
315,3.150000000000e-02,3.570000000000e-01,3.110000000000e-01,3.545000000000e-01,3.068000000000e-01
320,3.200000000000e-02,3.407000000000e-01,3.554000000000e-01,3.331000000000e-01,3.542000000000e-01
325,3.250000000000e-02,4.107000000000e-01,4.408000000000e-01,4.033000000000e-01,4.421000000000e-01
330,3.300000000000e-02,3.148000000000e-01,1.372000000000e+00,3.144000000000e-01,4.878000000000e-01
335,3.350000000000e-02,3.777000000000e-01,1.408000000000e+00,3.745000000000e-01,4.247000000000e-01
340,3.400000000000e-02,3.103000000000e-01,1.409000000000e+00,3.093000000000e-01,3.756000000000e-01
345,3.450000000000e-02,3.385000000000e-01,1.057000000000e+00,3.347000000000e-01,5.084000000000e-01
350,3.500000000000e-02,3.243000000000e-01,4.627000000000e-01,3.245000000000e-01,4.121000000000e-01
355,3.550000000000e-02,3.624000000000e-01,3.843000000000e-01,3.656000000000e-01,3.736000000000e-01
360,3.600000000000e-02,2.780000000000e-01,3.423000000000e-01,2.689000000000e-01,3.431000000000e-01
365,3.650000000000e-02,2.531000000000e-01,3.372000000000e-01,2.498000000000e-01,3.343000000000e-01
370,3.700000000000e-02,2.219000000000e-01,3.356000000000e-01,2.140000000000e-01,3.283000000000e-01
375,3.750000000000e-02,3.204000000000e-01,3.925000000000e-01,3.179000000000e-01,3.901000000000e-01
380,3.800000000000e-02,2.331000000000e-01,2.873000000000e-01,2.350000000000e-01,2.906000000000e-01
385,3.850000000000e-02,2.775000000000e-01,3.082000000000e-01,2.784000000000e-01,3.109000000000e-01
390,3.900000000000e-02,2.199000000000e-01,2.643000000000e-01,2.188000000000e-01,2.709000000000e-01
395,3.950000000000e-02,3.042000000000e-01,3.601000000000e-01,3.069000000000e-01,2.784000000000e-01
